total_transactions,unique_counterparties,incoming_count,outgoing_count,incoming_outgoing_ratio,total_volume,degree_centrality,label
27,27,27,0,27.0,0.9547979706442922,1.0,0
228,228,228,0,228.0,0.0,1.0,1
44,44,9,35,0.25,0.36200931528880437,1.0,0
1,1,0,1,0.0,0.0,1.0,0
107,106,3,104,0.02857142857142857,0.6450009999999999,1.0190476190476192,0
43,42,30,13,2.142857142857143,20.4842302507558,1.0238095238095237,0
1,1,0,1,0.0,0.0,1.0,0
24,24,6,18,0.3157894736842105,2.9803745224601004,1.0,0
3,3,2,1,1.0,0.014625350248023805,1.0,0
29,29,23,6,3.2857142857142856,15.701900585199999,1.0,0
1,1,0,1,0.0,0.0,1.0,0
1,1,0,1,0.0,1e-08,1.0,0
67,67,66,1,33.0,6.600000000000004e-08,1.0,0
187,187,0,187,0.0,354.52465818999997,0.9999999999999999,1
458,458,458,0,458.0,17.16898172655127,1.0,1
53,50,23,30,0.7419354838709677,1.8148672959799361,1.0816326530612244,0
13,13,8,5,1.3333333333333333,0.06772795021502234,1.0,0
23,22,12,11,1.0,11.467322050999998,1.0952380952380951,0
6,6,4,2,1.3333333333333333,0.07660385550497095,1.0,0
310,310,280,30,9.03225806451613,19.380503776101445,1.0,0
1,1,0,1,0.0,0.0,1.0,0
2,2,2,0,2.0,0.042624999999999996,1.0,0
12,12,11,1,5.5,10.0008008321,1.0,0
174,174,45,129,0.34615384615384615,17008.51037911021,1.0,1
99,99,99,0,99.0,1.069000000074e-06,1.0,1
4,4,4,0,4.0,0.0,1.0,0
24,23,19,5,3.1666666666666665,6.975258556344602,1.0434782608695652,0
61,61,61,0,61.0,54.180555657948936,1.0,1
1,1,0,1,0.0,1.6e-08,1.0,0
36,36,31,5,5.166666666666667,30.030749175020155,1.0,0
1,1,0,1,0.0,2e-08,1.0,0
149,149,1,148,0.006711409395973154,24132.72965918,1.0,1
417,417,115,302,0.3795379537953795,12700.94211814011,0.9999999999999999,1
24,24,24,0,24.0,0.0,1.0,0
282,282,223,59,3.716666666666667,59.181458361787506,1.0,1
16,16,0,16,0.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
6,6,1,5,0.16666666666666666,0.7478366873569207,1.0,0
1,1,1,0,1.0,0.02378996,1.0,0
6,6,3,3,0.75,0.009699,1.0,0
12,11,4,8,0.4444444444444444,0.11315281483613315,1.0909090909090908,0
175,175,175,0,175.0,1324.2567635475477,1.0,1
310,310,310,0,310.0,0.0,1.0,1
122,122,122,0,122.0,7.205400999999996,1.0,1
23,23,23,0,23.0,0.0,1.0,0
10,10,7,3,1.75,0.5140223394234867,1.0,0
414,414,414,0,414.0,0.0,1.0,1
1,1,1,0,1.0,9.5e-17,1.0,0
2,2,1,1,0.5,0.11106103032858376,1.0,0
3,3,0,3,0.0,8.63412685913e-07,1.0,0
2,2,1,1,0.5,0.01,1.0,0
122,122,122,0,122.0,319.2112833949247,1.0,1
33,33,26,7,3.25,127.17359549219,1.0,1
124,124,9,115,0.07758620689655173,241.2134419010912,1.0,1
2,2,0,2,0.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
290,290,290,0,290.0,18.602313849442503,1.0,1
10,10,6,4,1.2,0.6711798835369811,1.0,0
1,1,0,1,0.0,1e-08,1.0,0
257,257,0,257,0.0,0.0,1.0,0
2,2,0,2,0.0,0.0,1.0,0
23,22,3,20,0.14285714285714285,0.1911285427911647,1.0952380952380951,0
161,161,79,82,0.9518072289156626,22.939377694432338,0.9999999999999999,0
3,3,3,0,3.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
4,4,0,4,0.0,0.0,1.0,0
1,1,0,1,0.0,1.99e-16,1.0,0
9,9,1,8,0.1111111111111111,0.16420336792782148,1.0,0
5,5,1,4,0.2,0.001519619030862526,1.0,0
1,1,0,1,0.0,0.0,1.0,0
106,106,106,0,106.0,0.0,1.0,1
15,15,13,2,4.333333333333333,0.027541314999411884,1.0,0
105,99,12,93,0.1276595744680851,8.64165857894403,1.0714285714285714,0
57,57,0,57,0.0,0.000233308421254582,1.0,0
7,7,3,4,0.6,0.49997,1.0,0
129,123,25,104,0.23809523809523808,45.27243144564575,1.0573770491803278,1
50,49,13,37,0.34210526315789475,5.952005638870425,1.0204081632653061,0
22,22,22,0,22.0,0.0,1.0,0
3,3,0,3,0.0,2.1329581987e-07,1.0,0
2,2,1,1,0.5,1.0,1.0,0
8,8,3,5,0.5,0.4998,1.0,0
304,304,304,0,304.0,7.0499567379900006,1.0,1
5,5,1,4,0.2,0.16636067623376483,1.0,0
1,1,0,1,0.0,0.0,1.0,0
287,287,0,287,0.0,0.11235056017865984,1.0,0
3,3,1,2,0.3333333333333333,0.02434999032632157,1.0,0
380,380,380,0,380.0,0.0,1.0,1
225,225,225,0,225.0,0.0,1.0,1
5,5,1,4,0.2,0.00040243091454,1.0,0
1,1,0,1,0.0,0.0,1.0,0
6,6,6,0,6.0,0.0,1.0,0
3,3,2,1,1.0,0.00035262041432533597,1.0,0
455,455,392,63,6.125,55.78206245690074,1.0,1
1,1,0,1,0.0,0.0,1.0,0
275,275,274,1,137.0,4.644808447492003e-05,1.0,1
1,1,1,0,1.0,0.0,1.0,0
33,28,22,11,1.8333333333333333,0.12758174922816035,1.1785714285714286,0
89,85,26,63,0.40625,9.83285961880238,1.0470588235294118,0
171,171,58,113,0.5087719298245614,1747.126217000399,1.0,1
1,1,0,1,0.0,0.0,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
